"","Pool_ID","lat","long","DistRC_m","Depth_cm","SurfArea_cm2","Volume_cm3","Pct_Shaded","Notes","MaxRTemp_Z","Depth_Z","Pct_Shaded_Z","fit","se.fit"
"136","137",37.52615996,-77.45602583,"15.95679312",51.75972154,"1204.247763","67921.29388",0,"-",0,0.891135938067714,-0.539498512914512,28.3260968461476,1.32403101035756
"137","138",37.52614429,-77.456016,"18.37694514",44.79166667,"3522.510798","167878.0658",0,"-",0,0.634492010795693,-0.539498512914512,31.1356523475146,2.67720213633519
"138","139",37.52609957,-77.45598969,"25.11379597",28.79166667,"5651.463598","160222.054",0,"-",0,0.0451879778967193,-0.539498512914512,30.8107207393144,0.989679611621046
"139","140",37.52610775,-77.45603394,"21.14928464",31.0625,"32679.63","997553.65",0,"-",0,0.12882618035987,-0.539498512914512,30.4472019172284,1.3153489165637
"140","141",37.52608719,-77.45604906,"22.36184041",56.8125,"7248.047039","406481.2524",0,"-",0,1.07723735830666,-0.539498512914512,29.5947460360386,1.30519163209307
"141","142",37.52612904,-77.45607716,"15.81607683",64.51157264,"2663.041699","175204.3008",0,"-",0,1.36080576807754,-0.539498512914512,29.7065677834796,2.6936714638279
"142","143",37.52595899,-77.45600506,"39.49535411",31.51336781,"1707.290281","59969.76622",0.03,"-",0,0.145432319030953,-0.433033059956945,31.9537728059918,2.67204480605953
"143","144",37.5261574,-77.45571863,"28.88756808",73.625,"3834.510195","281942.7137",0,"-",0,1.69646698662628,-0.539498512914512,28.5843461797649,0.837104115411955
"144","145",37.52614218,-77.45572504,"30.61087619",31.4375,"6077.411","188399.7",0,"-",0,0.142637993630939,-0.539498512914512,29.6944280981278,1.31728212323093
"145","146",37.52611235,-77.45566974,"36.7717891",23.04166667,"9255.000594","215182.0246",0.97,"-",0,-0.166593158926349,2.90288446604683,27.2124811408844,1.31165298120148
"150","151",37.52583854,-77.45529367,"87.67418026",21.38984375,"1534.128037","33677.41855",0.08,"-",0,-0.227432278200784,-0.255590638360999,29.5952947064218,1.32897627339963
"151","152",37.52584581,-77.45530736,"86.18896407",35.65263158,"5806.266731","211637.3379",0,"-",0,0.297887621086803,-0.539498512914512,29.7747675217704,0.986338266794063
"152","153",37.52583825,-77.45532202,"86.61835999",24.09264706,"2514.706241","60255.32626",0.13,"-",0,-0.127883972531053,-0.0781482167650537,32.003367265469,2.67048210172196
"153","154",37.52586873,-77.45535693,"81.25767294",18.875,"10229.0244","187252.0223",0,"-",0,-0.320057750949895,-0.539498512914512,33.013810810627,2.67459530240727
"154","155",37.52586518,-77.45528938,"84.33239098",28.65,"8528.167326","251287.5336",0.22,"-",0,0.0399701816493212,0.241248142107648,31.2433293668358,2.67236117799142
"155","156",37.52586015,-77.45526561,"85.91220164",11.04166667,"80162.96988","1111180.665",0.43,"-",0,-0.60857118360058,0.986506312810619,31.4452090218889,2.68204666918226
"156","157",37.52587128,-77.45524634,"85.19033686",19.63333333,"34847.33166","705471.9955",0.67,"-",0,-0.292127195346726,1.83822993647116,29.6761294296828,2.70510397176229
"157","158",37.52587806,-77.45522641,"85.06684939",4.5,"8466.592201","38099.66491",0.56,"-",0,-0.849510593007567,1.44785660896008,31.244221880441,2.7039872383436
"158","159",37.52583587,-77.45525887,"89.36877672",12.625,"2256.972667","27749.68667",1,"-",0,-0.550254638801057,3.0093499190044,28.5112803003963,2.7635779979184
"159","160",37.52589629,-77.45521362,"83.15948402",7.625,"3917.566","30206.41",0.16,"-",0,-0.734412149081986,0.0283172361925136,33.0298367867839,2.6750163707824
"160","161",37.5258957,-77.45520177,"83.69511126",17.73099276,"2096.480242","35922.00233",0.74,"-",0,-0.362193255962247,2.08664932670548,29.4597962930844,2.71363185884905
"161","162",37.52590577,-77.45515638,"84.11964853",17.58333333,"4217.064667","73121.61667",0.47,"-",0,-0.367631774561907,1.12846025008738,30.7969279989158,2.6830047175881
"162","163",37.52595872,-77.4550682,"80.55185556",15.29166667,"1602.212246","34763.29344",0.17,"-",0,-0.45203729986179,0.0638057205117027,32.4423030528309,1.30698685752759
"163","164",37.52597169,-77.45507087,"78.74145882",34.83333333,"1058.323934","36800.84681",0,"-",0,0.267711635907299,-0.539498512914512,34.5739203311299,1.32196711919605
"164","165",37.52597766,-77.45506136,"78.32169174",40.70625,"6100.043559","252838.9836",0,"-",0,0.484019978314212,-0.539498512914512,31.6616426113637,1.30349809620314
"165","166",37.5259903,-77.45504276,"77.37574416",16.125,"18741.95595","327801.4301",0.02,"-",0,-0.421344381604407,-0.468521544276134,33.1145497416423,2.67472383151598
"166","167",37.52598136,-77.45508013,"77.11086356",38.08333333,"22450.08402","844554.3807",0,"-",0,0.387414017589903,-0.539498512914512,31.6217994742392,2.67444479834468
"167","168",37.52600042,-77.45506867,"75.04323369",35.6875,"31314.74178","1130587.09",0,"-",0,0.299171877369729,-0.539498512914512,31.7954234476553,2.67381215906307
"168","169",37.52602762,-77.45506508,"71.60060593",24.14583333,"17743.97719","415206.3048",0,"-",0,-0.125925042318188,-0.539498512914512,31.2257779584205,1.30978168158893
"169","170",37.52596949,-77.45501747,"81.09123995",27.42045455,"8146.220805","217820.802",0,"-",0,-0.00531582412052772,-0.539498512914512,32.3945290955597,2.67305456659749
"170","171",37.52594526,-77.45501058,"84.54670575",16.75,"865.5088","13848.14",0.17,"-",0,-0.39832469281929,0.0638057205117027,32.3309696174588,2.6714045096726
"172","173",37.52600264,-77.45500595,"77.17117072",18.5,"3160.442201","62769.80729",0.03,"-",0,-0.333869564220965,-0.433033059956945,31.6794590904793,1.30635227561537
"173","175",37.52605903,-77.45505362,"67.90706648",55.59999827,"2188.97631","121707.079",0.06,"-",0,1.03257909834503,-0.326567606999377,30.2713429520224,1.30769508984426
