Pool_ID,Date,MinWTemp_C,MaxWTemp_C,MeanWTemp_C,cvWTemp_C,sdWTemp_C,MaxATemp_C,MeanATemp_C,MaxRTemp_C
619,5/20/2021,19.758,28.357,22.71557576,0.128052789,2.908792823,32.8,22.8,23.9
620,6/24/2021,22.333,30.558,25.23727273,0.11295408,2.850652933,26.1,19.4,26.1
638,6/8/2021,26.488,34.796,29.41606061,0.108366568,3.187717541,32.8,27.8,29
638,6/24/2021,22.046,32.6,26.80912121,0.147098101,3.943570826,26.1,19.4,26.1
639,7/21/2021,24.545,41.692,33.49166667,0.186215174,6.236656524,33.9,27.8,29.9
673,6/8/2021,28.754,37.604,32.00157576,0.103545699,3.313625535,32.8,27.8,29
680,6/24/2021,23.388,32.291,27.16881818,0.118784523,3.227235112,26.1,19.4,26.1
687,6/8/2021,28.655,35.328,30.85966667,0.0737966,2.277338464,32.8,27.8,29
694,6/24/2021,20.329,35.222,26.97748485,0.205666166,5.548355878,26.1,19.4,26.1
716,7/21/2021,26.158,28.816,27.26857576,0.036038708,0.982724244,33.9,27.8,29.9
717,5/20/2021,20.901,36.403,28.14024242,0.202775541,5.706152874,32.8,22.8,23.9
717,6/24/2021,22.525,34.796,28.02206061,0.158600496,4.4443127,26.1,19.4,26.1
728,6/8/2021,27.764,35.435,30.29709091,0.0938096,2.842157987,32.8,27.8,29
728,7/21/2021,27.665,34.903,30.24145455,0.093786177,2.836230411,33.9,27.8,29.9
765,7/21/2021,28.159,29.752,28.60154545,0.018241251,0.521727964,33.9,27.8,29.9
776,7/21/2021,27.93,33.12,30.05242424,0.061025221,1.833955817,33.9,27.8,29.9
