ObjectID,GlobalID,Pool ID,Date,Time,Observer,How is the pool shaded?,How many dots have open canopy?,Percent Open Canopy,Percent Closed Canopy,CreationDate,Creator,EditDate,Editor,x,y
316,580da392-60ea-4a3f-84f1-53e2d97c6892,274,8/19/2021 4:00:00 PM,10:04,Bm,FULL_SUN,96,99.84,0.159999999999997,8/19/2021 2:04:33 PM,marxbp_vcu_ces,8/19/2021 2:04:33 PM,marxbp_vcu_ces,-77.45549166,37.52653015
317,7b521b1d-82c5-4eaa-8bd3-86f9b9132dfa,275,8/19/2021 4:00:00 PM,10:04,Bm,FULL_SUN,93,96.72,3.28,8/19/2021 2:05:08 PM,marxbp_vcu_ces,8/19/2021 2:05:08 PM,marxbp_vcu_ces,-77.45548156,37.52653593
318,e3e21d09-102c-4cc9-b8a8-a09e79449619,443,8/19/2021 4:00:00 PM,10:07,Atd,FULL_SHADE,39,40.56,59.44,8/19/2021 2:08:11 PM,davidsonat_vcu_ces,8/19/2021 2:08:11 PM,davidsonat_vcu_ces,-77.45575734,37.52655126
319,30e855b2-eeed-43d7-a4c8-d5780aeb9c80,585,8/19/2021 4:00:00 PM,10:08,Bm,FULL_SUN,96,99.84,0.159999999999997,8/19/2021 2:08:52 PM,marxbp_vcu_ces,8/19/2021 2:08:52 PM,marxbp_vcu_ces,-77.4555527,37.52649263
320,63af19db-2d47-4db7-a6b4-b87da23eec53,583,8/19/2021 4:00:00 PM,10:09,Bm,PARTIAL_SHADE,7,7.28,92.72,8/19/2021 2:09:44 PM,marxbp_vcu_ces,8/19/2021 2:09:44 PM,marxbp_vcu_ces,-77.4555634,37.52651035
321,1080b25c-a080-4180-b45c-5165b70e05cd,445,8/19/2021 4:00:00 PM,10:09,Atd,FULL_SHADE,64,66.56,33.44,8/19/2021 2:09:45 PM,davidsonat_vcu_ces,8/19/2021 2:09:45 PM,davidsonat_vcu_ces,-77.45573476,37.52656728
322,adc92438-a5b2-4e42-84f4-aed2f8088570,444,8/19/2021 4:00:00 PM,10:10,Atd,PARTIAL_SHADE,66,68.64,31.36,8/19/2021 2:10:26 PM,davidsonat_vcu_ces,8/19/2021 2:10:26 PM,davidsonat_vcu_ces,-77.45575734,37.5265703
323,b31c69bc-29e7-4b93-901f-e979f2efc89e,584,8/19/2021 4:00:00 PM,10:09,Bm,FULL_SUN,95,98.8,1.2,8/19/2021 2:10:42 PM,marxbp_vcu_ces,8/19/2021 2:10:42 PM,marxbp_vcu_ces,-77.45554866,37.52651845
324,05e2e01c-d814-4212-824a-34ea014dcc98,582,8/19/2021 4:00:00 PM,10:10,Bm,PARTIAL_SHADE,12,12.48,87.52,8/19/2021 2:11:28 PM,marxbp_vcu_ces,8/19/2021 2:11:28 PM,marxbp_vcu_ces,-77.4555672,37.52652411
325,665f2c12-1b5c-432c-bc87-3fdc908a3f70,277,8/19/2021 4:00:00 PM,10:12,Bm,PARTIAL_SHADE,91,94.64,5.36,8/19/2021 2:13:39 PM,marxbp_vcu_ces,8/19/2021 2:13:39 PM,marxbp_vcu_ces,-77.4555637,37.52655521
