Pool_ID,lat,long,DistRC_m,Depth_cm,SurfArea_cm2,Volume_cm3,Pct_Shaded,Notes
325,37.52674133,-77.45497105,18.66955184,28.58333333,6159.615847,180114.5162,0,-
326,37.52684335,-77.45493599,29.99509701,27.375,1714.131492,47070.13912,1,-
327,37.52674794,-77.45491588,16.91216035,14.1875,4782.289418,70169.82813,0,-
328,37.52702082,-77.45475353,43.98018442,-,-,-,90,Covered by debris?
329,37.52704739,-77.45451204,34.46641419,14.64044969,696.8407383,11154.64856,18,-
330,37.52702508,-77.45462897,38.03061837,11.77115385,2197.702674,25565.11309,19,-
331,37.52694439,-77.45461961,27.61732801,56.58333333,5995.729408,335457.6958,0,-
332,37.52688591,-77.45464351,21.63982464,44,9621.128,423329.6,4,-
333,37.52687922,-77.454665,21.80081988,28.125,260.3594912,7322.610689,0,-
334,37.52684348,-77.45468512,18.20159175,12.29807692,2036.416531,26923.71385,65,-
335,37.52685242,-77.45456215,13.22515188,23.68666625,1705.402262,40834.94957,2,-
336,37.52687266,-77.45455187,15.15663825,9.875,907.1349,8164.214,0,-
337,37.52695331,-77.45441268,17.55596461,21.66666667,1102.699025,23835.26447,4,-
338,37.5269691,-77.45440699,19.18916856,29,6311.46,183032.3,23,-
339,37.52699186,-77.4543639,19.66010076,21,22946.19274,481870.0476,29,-
340,37.52679197,-77.4543096,7.815071437,33.75,1223.650339,41298.19893,0,-
341,37.52677727,-77.45429291,10.51975685,13.7125,3732.211979,50589.61456,0,-
342,37.52677233,-77.45421937,15.0902498,4.75,1248.783,4995.132,0,-
343,37.52700819,-77.45373722,1.692181319,59.9375,3752.239785,223848.1928,0,-
